param,indx1,indx2,value
Bidir,Fix,,1
Bidir,Var,,1
BlendCost,G,G,0
BlendCost,H,H,0
BlendLim,,,0
BlendLim,G,G,0
BlendLim,H,H,0
BFPipe,,,1
BIPipe,,,3
BIPipe,G,,3
BIPipe,H,,3
BLPipe,,,0
RepurpArc,,,1
RepurpArc,G,H,1
RepurpArc,H,G,1
RepurpStor,,,0.2
RepurpStor,G,H,0.2
RepurpStor,H,G,0.2
RepurpArc,Fix,,0.5
RepurpArc,Fix,G,0.5
RepurpArc,Fix,H,0.5
RepurpStor,Fix,,0.3
RepurpStor,Fix,G,0.3
RepurpStor,Fix,H,0.3
Penalty,ZMD,G,1000
Penalty,ZDA,G,1000
Penalty,ZD2,G,1000
Penalty,ZMD,H,1000
Penalty,ZDA,H,1000
Penalty,ZD2,H,1000
Vola2,G,,1
Vola2,H,,1
Vola2,,,1
Vols2,G,,1
Vols2,H,,1
Vols2,,,1
LossMax,,,0
Pipe,Len,Std,80
OffshMult,,,20
bigM,,,1000
YearStep,,,5
DiscRate,,,0
