param,indx1,indx2,value
bigM,,,1000000000
DiscRate,,,0.05
YearStep,,,5
BlendCost,,,0
Pipe,Len,Std,80
Penalty,ZD,G,1000
Penalty,ZD,H,1000
Penalty,ZD2,G,1000
Penalty,ZD2,H,1000
Penalty,ZN,G,1000
Penalty,ZN,H,1000
Penalty,ZN2,G,1000
Penalty,ZN2,H,1000
Penalty,ZS,G,100
Penalty,ZS,H,100
Penalty,ZW,G,100
Penalty,ZW,H,100
Vola2,G,,1
Vola2,H,,1
Vols2,G,,1
Vols2,H,,1
inv_cost,Arc,G,10
inv_cost,Arc,H,10
inv_cost,Bidir,G,5
inv_cost,Bidir,H,5
inv_cost,Regas,G,2
inv_cost,Regas,H,2
inv_cost,Storage,G,1
inv_cost,Storage,H,1
